Time series;Closing price;MA-15;MACD-26;RSI-14;WR-14;D-3;K-14;Trend;Trading signals
303;233.89;0.4190260475651812;0.0;0.29500236723920725;0.5839518676966355;1.0;0.0;no;0.13963328631875802
304;231.91;0.0;0.0;0.0;1.0;0.0;0.0;no;0.0
305;239.0;0.0;0.0;1.0;0.0;0.0;0.0;no;0.5
306;236.71;0.0;0.0;0.07397583779984665;0.9007933390935478;0.9583222643045964;0.0;no;0.03448275862069078
307;236.65;0.0;0.0;0.0;1.0;1.0;0.0;no;0.0
308;237.52;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
309;237.69;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
310;238.77;0.0;0.0;0.2157989934893276;0.8254735851912703;0.0;0.0;up;0.586854460093898
311;238.4;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
312;240.53;0.0;0.0;0.0;0.0;0.0;0.7315098295103303;up;0.5
313;246.93;0.0;0.0;1.0;0.0;0.6784706502572525;1.0;up;1.0
314;243.47;0.0;0.0;0.07845004896239201;0.4304164267894861;1.0;1.0;up;0.5277777777777785
315;243.41;0.0;0.0;0.0;1.0;1.0;0.5568262959599044;up;0.5
316;244.49;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
317;245.72;0.0;0.0;0.47762417432743115;0.5892204324864035;0.0;0.0;up;0.5510638297872354
318;247.83;0.0;0.0;1.0;0.0;1.0;1.0;up;0.8660436137071678
319;245.48;0.0;0.0;0.0;1.0;0.03464377271497139;0.0;up;0.5
320;248.69;0.0;0.0;0.0;0.5690611431209801;0.0;0.20776232579161202;up;0.5
321;252.46;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
322;254.44;0.0;0.0;0.0;0.0;0.0;0.28461239250862386;up;0.5
323;262.5;0.0;0.0;0.730218872852566;0.17068665929499346;0.38845240156707994;0.8413619761594069;up;0.5938673341677095
324;268.99;0.0;0.0;1.0;0.0;1.0;1.0;up;1.0
325;261.0;0.0;0.0;0.0;1.0;1.0;0.4883295782715235;up;0.5
326;264.43;0.0;0.0;0.0;1.0;1.0;0.0;up;0.5
327;270.23;0.0;0.0;0.816004933861962;0.0;1.0;0.0;up;0.6620000000000005
328;267.8;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
329;275.3;0.0;0.0;0.0;1.0;0.0;0.0;up;0.5
330;277.71;0.0;0.0;0.0;0.4155291526991639;0.0;0.0;up;0.5
331;282.59;0.0;0.0;0.3424656085157303;0.0;0.49274567828893706;1.0;up;0.5
